"","Citation","AI","Question","Criteria","Agent","Flag","group_agent","value","Reviewer","Difficulty","Extractor"
"2488","_Dispersal of grouper larvae drives local resource","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",2,"4"
"2489","_Dispersal of grouper larvae drives local resource","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",2,"R4",2,"4"
"2490","_Dispersal of grouper larvae drives local resource","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",2,"4"
"2491","_Dispersal of grouper larvae drives local resource","Elicit","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R4",2,"4"
"2492","_Dispersal of grouper larvae drives local resource","Elicit","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R4",2,"4"
"2493","_Dispersal of grouper larvae drives local resource","Elicit","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",2,"4"
"2494","_Dispersal of grouper larvae drives local resource","Elicit","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"4"
"2495","_Dispersal of grouper larvae drives local resource","Elicit","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"4"
"2496","_Dispersal of grouper larvae drives local resource","Elicit","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",2,"4"
"2497","_Dispersal of grouper larvae drives local resource","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",3,"R3",2,"4"
"2498","_Dispersal of grouper larvae drives local resource","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"4"
"2499","_Dispersal of grouper larvae drives local resource","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",2,"4"
"2500","_Dispersal of grouper larvae drives local resource","Elicit","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R2",1,"4"
"2501","_Dispersal of grouper larvae drives local resource","Elicit","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R2",1,"4"
"2502","_Dispersal of grouper larvae drives local resource","Elicit","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",1,"4"
"2503","_Dispersal of grouper larvae drives local resource","Elicit","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",NA,"4"
"2504","_Dispersal of grouper larvae drives local resource","Elicit","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",2,"R3",NA,"4"
"2505","_Dispersal of grouper larvae drives local resource","Elicit","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",NA,"4"
"2506","_Dispersal of grouper larvae drives local resource","Elicit","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",3,"R4",NA,"4"
"2507","_Dispersal of grouper larvae drives local resource","Elicit","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",NA,"4"
"2508","_Dispersal of grouper larvae drives local resource","Elicit","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",NA,"4"
"2509","_Evaluation of coral reef management effectiveness","Elicit","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"3"
"2510","_Evaluation of coral reef management effectiveness","Elicit","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"3"
"2511","_Evaluation of coral reef management effectiveness","Elicit","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"3"
"2512","_Evaluation of coral reef management effectiveness","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",3,"3"
"2513","_Evaluation of coral reef management effectiveness","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",3,"3"
"2514","_Evaluation of coral reef management effectiveness","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",3,"3"
"2515","_Evaluation of coral reef management effectiveness","Elicit","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",3,"R2",1,"3"
"2516","_Evaluation of coral reef management effectiveness","Elicit","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",1,"3"
"2517","_Evaluation of coral reef management effectiveness","Elicit","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",1,"3"
"2518","_Evaluation of coral reef management effectiveness","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",2,"R3",3,"3"
"2519","_Evaluation of coral reef management effectiveness","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",2,"R3",3,"3"
"2520","_Evaluation of coral reef management effectiveness","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",3,"R3",3,"3"
"2521","_Evaluation of coral reef management effectiveness","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",1,"3"
"2522","_Evaluation of coral reef management effectiveness","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",1,"3"
"2523","_Evaluation of coral reef management effectiveness","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",1,"3"
"2524","_Evaluation of coral reef management effectiveness","Elicit","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R4",1,"3"
"2525","_Evaluation of coral reef management effectiveness","Elicit","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R4",1,"3"
"2526","_Evaluation of coral reef management effectiveness","Elicit","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",1,"3"
"2527","_Evaluation of coral reef management effectiveness","Elicit","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"3"
"2528","_Evaluation of coral reef management effectiveness","Elicit","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"3"
"2529","_Evaluation of coral reef management effectiveness","Elicit","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"3"
"2530","_Evaluation of coral reef management effectiveness","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",3,"R3",1,"3"
"2531","_Evaluation of coral reef management effectiveness","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",1,"3"
"2532","_Evaluation of coral reef management effectiveness","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",1,"3"
"2533","_Evaluation of coral reef management effectiveness","Elicit","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R2",2,"3"
"2534","_Evaluation of coral reef management effectiveness","Elicit","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",2,"3"
"2535","_Evaluation of coral reef management effectiveness","Elicit","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",2,"3"
"2536","_Evaluation of coral reef management effectiveness","Elicit","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",3,"3"
"2537","_Evaluation of coral reef management effectiveness","Elicit","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",2,"R3",3,"3"
"2538","_Evaluation of coral reef management effectiveness","Elicit","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",3,"3"
"2539","_Evaluation of coral reef management effectiveness","Elicit","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",3,"R4",3,"3"
"2540","_Evaluation of coral reef management effectiveness","Elicit","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",3,"3"
"2541","_Evaluation of coral reef management effectiveness","Elicit","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",3,"3"
"2542","_Fishing dynamics associated with periodically harv","Elicit","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"3"
"2543","_Fishing dynamics associated with periodically harv","Elicit","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"3"
"2544","_Fishing dynamics associated with periodically harv","Elicit","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"3"
"2545","_Fishing dynamics associated with periodically harv","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"3"
"2546","_Fishing dynamics associated with periodically harv","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"3"
"2547","_Fishing dynamics associated with periodically harv","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",2,"3"
"2548","_Fishing dynamics associated with periodically harv","Elicit","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",3,"R2",1,"3"
"2549","_Fishing dynamics associated with periodically harv","Elicit","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",1,"3"
"2550","_Fishing dynamics associated with periodically harv","Elicit","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",1,"3"
"2551","_Fishing dynamics associated with periodically harv","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",1,"R3",2,"3"
"2552","_Fishing dynamics associated with periodically harv","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",2,"R3",2,"3"
"2553","_Fishing dynamics associated with periodically harv","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",3,"R3",2,"3"
"2554","_Fishing dynamics associated with periodically harv","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",2,"3"
"2555","_Fishing dynamics associated with periodically harv","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",2,"3"
"2556","_Fishing dynamics associated with periodically harv","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",2,"3"
"2557","_Fishing dynamics associated with periodically harv","Elicit","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R4",2,"3"
"2558","_Fishing dynamics associated with periodically harv","Elicit","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",1,"R4",2,"3"
"2559","_Fishing dynamics associated with periodically harv","Elicit","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",2,"3"
"2560","_Fishing dynamics associated with periodically harv","Elicit","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"3"
"2561","_Fishing dynamics associated with periodically harv","Elicit","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"3"
"2562","_Fishing dynamics associated with periodically harv","Elicit","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",2,"3"
"2563","_Fishing dynamics associated with periodically harv","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",3,"R3",2,"3"
"2564","_Fishing dynamics associated with periodically harv","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"3"
"2565","_Fishing dynamics associated with periodically harv","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",3,"R3",2,"3"
"2566","_Fishing dynamics associated with periodically harv","Elicit","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R2",NA,"3"
"2567","_Fishing dynamics associated with periodically harv","Elicit","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R2",NA,"3"
"2568","_Fishing dynamics associated with periodically harv","Elicit","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",NA,"3"
"2569","_Fishing dynamics associated with periodically harv","Elicit","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",NA,"3"
"2570","_Fishing dynamics associated with periodically harv","Elicit","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",2,"R3",NA,"3"
"2571","_Fishing dynamics associated with periodically harv","Elicit","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",NA,"3"
"2572","_Fishing dynamics associated with periodically harv","Elicit","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",2,"R4",NA,"3"
"2573","_Fishing dynamics associated with periodically harv","Elicit","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",NA,"3"
"2574","_Fishing dynamics associated with periodically harv","Elicit","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",NA,"3"
"2575","_Fishing in the dark-local knowledge night spearfi","Elicit","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"3"
"2576","_Fishing in the dark-local knowledge night spearfi","Elicit","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"3"
"2577","_Fishing in the dark-local knowledge night spearfi","Elicit","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"3"
"2578","_Fishing in the dark-local knowledge night spearfi","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",1,"R1",3,"3"
"2579","_Fishing in the dark-local knowledge night spearfi","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",3,"3"
"2580","_Fishing in the dark-local knowledge night spearfi","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",3,"3"
"2581","_Fishing in the dark-local knowledge night spearfi","Elicit","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",3,"R2",2,"3"
"2582","_Fishing in the dark-local knowledge night spearfi","Elicit","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",2,"3"
"2583","_Fishing in the dark-local knowledge night spearfi","Elicit","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",2,"3"
"2584","_Fishing in the dark-local knowledge night spearfi","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",2,"R3",2,"3"
"2585","_Fishing in the dark-local knowledge night spearfi","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",2,"R3",2,"3"
"2586","_Fishing in the dark-local knowledge night spearfi","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",2,"3"
"2587","_Fishing in the dark-local knowledge night spearfi","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",2,"3"
"2588","_Fishing in the dark-local knowledge night spearfi","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",2,"3"
"2589","_Fishing in the dark-local knowledge night spearfi","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",2,"3"
"2590","_Fishing in the dark-local knowledge night spearfi","Elicit","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R4",1,"3"
"2591","_Fishing in the dark-local knowledge night spearfi","Elicit","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R4",1,"3"
"2592","_Fishing in the dark-local knowledge night spearfi","Elicit","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",1,"3"
"2593","_Fishing in the dark-local knowledge night spearfi","Elicit","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"3"
"2594","_Fishing in the dark-local knowledge night spearfi","Elicit","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"3"
"2595","_Fishing in the dark-local knowledge night spearfi","Elicit","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"3"
"2596","_Fishing in the dark-local knowledge night spearfi","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",3,"R3",1,"3"
"2597","_Fishing in the dark-local knowledge night spearfi","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",1,"3"
"2598","_Fishing in the dark-local knowledge night spearfi","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",3,"R3",1,"3"
"2599","_Fishing in the dark-local knowledge night spearfi","Elicit","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R2",3,"3"
"2600","_Fishing in the dark-local knowledge night spearfi","Elicit","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R2",3,"3"
"2601","_Fishing in the dark-local knowledge night spearfi","Elicit","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",3,"3"
"2602","_Fishing in the dark-local knowledge night spearfi","Elicit","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",2,"R3",2,"3"
"2603","_Fishing in the dark-local knowledge night spearfi","Elicit","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"3"
"2604","_Fishing in the dark-local knowledge night spearfi","Elicit","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",2,"3"
"2605","_Fishing in the dark-local knowledge night spearfi","Elicit","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",3,"R4",3,"3"
"2606","_Fishing in the dark-local knowledge night spearfi","Elicit","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",3,"3"
"2607","_Fishing in the dark-local knowledge night spearfi","Elicit","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",3,"3"
"2608","_Livelihoods and fisheries governance in a contempo","Elicit","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"4"
"2609","_Livelihoods and fisheries governance in a contempo","Elicit","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"2610","_Livelihoods and fisheries governance in a contempo","Elicit","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"4"
"2611","_Livelihoods and fisheries governance in a contempo","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"4"
"2612","_Livelihoods and fisheries governance in a contempo","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"4"
"2613","_Livelihoods and fisheries governance in a contempo","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",2,"4"
"2614","_Livelihoods and fisheries governance in a contempo","Elicit","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",3,"R2",2,"4"
"2615","_Livelihoods and fisheries governance in a contempo","Elicit","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",2,"4"
"2616","_Livelihoods and fisheries governance in a contempo","Elicit","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",2,"4"
"2617","_Livelihoods and fisheries governance in a contempo","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",3,"R3",1,"4"
"2618","_Livelihoods and fisheries governance in a contempo","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",3,"R3",1,"4"
"2619","_Livelihoods and fisheries governance in a contempo","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",3,"R3",1,"4"
"2620","_Livelihoods and fisheries governance in a contempo","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",NA,"4"
"2621","_Livelihoods and fisheries governance in a contempo","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",NA,"4"
"2622","_Livelihoods and fisheries governance in a contempo","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",NA,"4"
"2623","_Livelihoods and fisheries governance in a contempo","Elicit","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R4",1,"4"
"2624","_Livelihoods and fisheries governance in a contempo","Elicit","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R4",1,"4"
"2625","_Livelihoods and fisheries governance in a contempo","Elicit","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",1,"4"
"2626","_Livelihoods and fisheries governance in a contempo","Elicit","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"4"
"2627","_Livelihoods and fisheries governance in a contempo","Elicit","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"4"
"2628","_Livelihoods and fisheries governance in a contempo","Elicit","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"4"
"2629","_Livelihoods and fisheries governance in a contempo","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",2,"R3",3,"4"
"2630","_Livelihoods and fisheries governance in a contempo","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",3,"4"
"2631","_Livelihoods and fisheries governance in a contempo","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",3,"4"
"2632","_Livelihoods and fisheries governance in a contempo","Elicit","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R2",3,"4"
"2633","_Livelihoods and fisheries governance in a contempo","Elicit","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",3,"4"
"2634","_Livelihoods and fisheries governance in a contempo","Elicit","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",3,"4"
"2635","_Livelihoods and fisheries governance in a contempo","Elicit","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",NA,"4"
"2636","_Livelihoods and fisheries governance in a contempo","Elicit","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",3,"R3",NA,"4"
"2637","_Livelihoods and fisheries governance in a contempo","Elicit","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",NA,"4"
"2638","_Livelihoods and fisheries governance in a contempo","Elicit","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",2,"R4",NA,"4"
"2639","_Livelihoods and fisheries governance in a contempo","Elicit","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",NA,"4"
"2640","_Livelihoods and fisheries governance in a contempo","Elicit","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",NA,"4"
"2641","_Locally managed marine areas Implications for soc","Elicit","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"5"
"2642","_Locally managed marine areas Implications for soc","Elicit","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"5"
"2643","_Locally managed marine areas Implications for soc","Elicit","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"5"
"2644","_Locally managed marine areas Implications for soc","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"5"
"2645","_Locally managed marine areas Implications for soc","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"5"
"2646","_Locally managed marine areas Implications for soc","Elicit","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",1,"5"
"2647","_Locally managed marine areas Implications for soc","Elicit","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",2,"R2",1,"5"
"2648","_Locally managed marine areas Implications for soc","Elicit","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",1,"5"
"2649","_Locally managed marine areas Implications for soc","Elicit","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",1,"5"
"2650","_Locally managed marine areas Implications for soc","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",2,"R3",1,"5"
"2651","_Locally managed marine areas Implications for soc","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",1,"R3",1,"5"
"2652","_Locally managed marine areas Implications for soc","Elicit","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",1,"5"
"2653","_Locally managed marine areas Implications for soc","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",1,"5"
"2654","_Locally managed marine areas Implications for soc","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",1,"5"
"2655","_Locally managed marine areas Implications for soc","Elicit","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",1,"5"
"2656","_Locally managed marine areas Implications for soc","Elicit","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R4",1,"5"
"2657","_Locally managed marine areas Implications for soc","Elicit","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R4",1,"5"
"2658","_Locally managed marine areas Implications for soc","Elicit","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",1,"5"
"2659","_Locally managed marine areas Implications for soc","Elicit","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"5"
"2660","_Locally managed marine areas Implications for soc","Elicit","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"5"
"2661","_Locally managed marine areas Implications for soc","Elicit","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"5"
"2662","_Locally managed marine areas Implications for soc","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",3,"R3",NA,"5"
"2663","_Locally managed marine areas Implications for soc","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",NA,"5"
"2664","_Locally managed marine areas Implications for soc","Elicit","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",3,"R3",NA,"5"
